"模块名","显示名称","描述","驱动程序类型","启动模式","状态","状态","接受停止","接受暂停","分页缓冲池(字节)","代码(字节)","BSS(字节)","链接日期","路径","Init(字节)"
"iai2c","Intel(R) 串行 IO I2C 主机控制器","Intel(R) 串行 IO I2C 主机控制器","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","77,824","0","2018/7/23 17:04:39","C:\Windows\system32\drivers\iai2c.sys","4,096"
"iaLPSS2i_GPIO2","Intel(R) 串行 IO GPIO 驱动程序 v2","Intel(R) 串行 IO GPIO 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","45,056","0","2018/4/19 15:53:24","C:\Windows\system32\drivers\iaLPSS2i_GPIO2.sys","4,096"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) 串行 IO GPIO 驱动程序 v2","Intel(R) 串行 IO GPIO 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","57,344","0","2018/4/17 17:25:15","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","4,096"
"iaLPSS2i_GPIO2_CNL","Intel(R) 串行 IO GPIO 驱动程序 v2","Intel(R) 串行 IO GPIO 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","73,728","0","2018/4/17 15:07:03","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","4,096"
"iaLPSS2i_GPIO2_GLK","Intel(R) 串行 IO GPIO 驱动程序 v2","Intel(R) 串行 IO GPIO 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","57,344","0","2018/5/16 13:46:36","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","4,096"
"iaLPSS2i_I2C","Intel(R) 串行 IO I2C 驱动程序 v2","Intel(R) 串行 IO I2C 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","118,784","0","2018/4/19 15:52:58","C:\Windows\system32\drivers\iaLPSS2i_I2C.sys","4,096"
"iaLPSS2i_I2C_BXT_P","Intel(R) 串行 IO I2C 驱动程序 v2","Intel(R) 串行 IO I2C 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","122,880","0","2018/4/17 17:24:40","C:\Windows\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","4,096"
"iaLPSS2i_I2C_CNL","Intel(R) 串行 IO I2C 驱动程序 v2","Intel(R) 串行 IO I2C 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","126,976","0","2019/7/15 13:12:12","C:\Windows\system32\drivers\iaLPSS2i_I2C_CNL.sys","4,096"
"iaLPSS2i_I2C_GLK","Intel(R) 串行 IO I2C 驱动程序 v2","Intel(R) 串行 IO I2C 驱动程序 v2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","126,976","0","2018/5/16 13:46:02","C:\Windows\system32\drivers\iaLPSS2i_I2C_GLK.sys","4,096"
"iaLPSSi_GPIO","Intel(R) 串行 IO GPIO 主机控制器驱动程序","Intel(R) 串行 IO GPIO 主机控制器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","2015/2/2 17:00:09","C:\Windows\system32\drivers\iaLPSSi_GPIO.sys","4,096"
